epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.56328,1.86067,4.10258,2.07095,0.00522,0.18958,0.02113,0.00915,1.78278,3.95075,2.24697,3.332e-05,3.332e-05,3.332e-05
2,15.1454,1.8189,3.72843,2.0598,0.3521,0.37251,0.25212,0.1344,1.59057,3.32288,2.1351,7.34856e-05,7.34856e-05,7.34856e-05
3,19.1372,1.72062,2.68782,1.91028,0.35155,0.41369,0.24229,0.10866,1.82174,9.35483,2.18418,0.000112002,0.000112002,0.000112002
4,22.3785,1.6486,2.47631,1.85944,0.32776,0.48886,0.36229,0.20063,1.70502,4.49619,2.1565,0.000148869,0.000148869,0.000148869
5,25.8454,1.46612,2.05533,1.70387,0.33541,0.45522,0.38138,0.22733,1.65294,3.65958,2.11702,0.000184086,0.000184086,0.000184086
6,29.365,1.59536,2.06284,1.73967,0.16681,0.50491,0.25771,0.12573,2.08488,6.3048,2.5141,0.000217655,0.000217655,0.000217655
7,32.4309,1.54484,1.92893,1.74252,0.38322,0.47669,0.4684,0.18794,2.10023,3.25744,2.73306,0.000249573,0.000249573,0.000249573
8,35.407,1.51583,1.85662,1.7107,0.37062,0.37545,0.3079,0.15725,1.87179,4.75687,2.3814,0.000279843,0.000279843,0.000279843
9,38.5016,1.52152,1.78114,1.70189,0.37584,0.71529,0.51059,0.262,1.86803,4.52129,2.56586,0.000308463,0.000308463,0.000308463
10,42.0191,1.49264,1.62831,1.69396,0.38848,0.38296,0.3069,0.15475,2.19023,5.46304,2.94144,0.000335434,0.000335434,0.000335434
11,44.9818,1.53957,1.78453,1.75295,0.55938,0.35402,0.29614,0.12788,2.17093,5.73624,2.85948,0.000360756,0.000360756,0.000360756
12,47.8742,1.56752,1.7219,1.80808,0.5886,0.35411,0.42108,0.21427,1.98178,5.13595,2.61419,0.000384428,0.000384428,0.000384428
13,50.6653,1.4954,1.58678,1.71141,0.48327,0.43096,0.44752,0.20986,2.14473,4.52657,2.92203,0.000406451,0.000406451,0.000406451
14,53.7066,1.49933,1.64455,1.73176,0.44782,0.53409,0.48948,0.24855,1.9626,2.55421,2.66104,0.000426824,0.000426824,0.000426824
15,56.5056,1.56348,1.67342,1.75248,0.30116,0.43363,0.31657,0.12215,2.72502,3.52768,3.71198,0.000445548,0.000445548,0.000445548
16,59.3319,1.40112,1.49659,1.63844,0.23037,0.39313,0.28496,0.13065,2.46193,3.27831,3.32303,0.000462623,0.000462623,0.000462623
17,62.3976,1.47717,1.54662,1.66423,0.36987,0.37468,0.24441,0.11375,2.4063,3.09915,3.37327,0.000478049,0.000478049,0.000478049
18,65.1532,1.51338,1.6028,1.72394,0.43159,0.34678,0.38634,0.16083,2.20591,2.43254,3.02177,0.000491825,0.000491825,0.000491825
19,67.9497,1.43544,1.57683,1.66717,0.45222,0.61814,0.47223,0.21727,1.84541,2.21439,2.64914,0.000503952,0.000503952,0.000503952
20,70.769,1.41817,1.41184,1.61127,0.46415,0.53661,0.5445,0.24449,1.84166,1.97545,2.87105,0.000514429,0.000514429,0.000514429
21,73.6043,1.43582,1.39766,1.65951,0.66666,0.42379,0.56276,0.30419,1.77124,1.72751,2.73415,0.000503132,0.000503132,0.000503132
22,76.8096,1.38112,1.36723,1.65313,0.70351,0.47699,0.56608,0.3229,1.813,2.13194,2.66725,0.000486639,0.000486639,0.000486639
23,80.0324,1.34091,1.33933,1.57956,0.53588,0.46901,0.51209,0.30086,1.72728,2.1654,2.48481,0.000470145,0.000470145,0.000470145
24,82.9054,1.36403,1.34606,1.59374,0.67658,0.47321,0.55761,0.30569,1.60568,2.20941,2.36028,0.000453652,0.000453652,0.000453652
25,85.786,1.29833,1.21608,1.55326,0.55509,0.5666,0.6071,0.38337,1.42625,2.05908,2.09575,0.000437158,0.000437158,0.000437158
26,89.0481,1.27683,1.19482,1.52208,0.46101,0.61044,0.55949,0.32324,1.69042,2.27345,2.31414,0.000420665,0.000420665,0.000420665
